chat_message,category
Get 99999 gold for free! Join our discord: http://discord-giveaway.com/claim,spam
ok,not_spam
Get 99999 gold for free! Join our discord: http://claim-reward.net/claim,spam
Anyone wanna do a dungeon run?,not_spam
Auction house prices are crazy today.,not_spam
How do I get to GGWP?,not_spam
Reset your password here now: http://loot-claim.biz/claim,spam
Where's the best place to farm Void Titan?,not_spam
Follow this to recover your lost skins: secure-verify.org,spam
Selling rare mount. Whisper me.,not_spam
Is this quest bugged for anyone else?,not_spam
Security alert! Unauthorized login attempt. Change password at: http://account-verify.net/claim,spam
[GM] Notice: We are conducting an audit. Please confirm your details: http://discord-giveaway.com/claim,spam
Reset your password here now: http://discord-giveaway.com/claim,spam
nice,not_spam
GM event! Double XP for 24 hours! Claim your bonus here: http://win-cash.io/claim,spam
Get free Shadowlands with this program: http://account-verify.net/claim,spam
Verify to claim your reward: http://discord-giveaway.com/claim,spam
Legendary item giveaway! Only 100 left! Visit: http://win-cash.io/claim,spam
Selling rare mount. Whisper me.,not_spam
LOL that was hilarious.,not_spam
...,not_spam
ok,not_spam
LFG for Phoenix Feather raid.,not_spam
Click here to get a rare mount instantly: http://freegold.ru/claim,spam
Unlock premium skins at http://claim-reward.net/claim,spam
Need help with Lich King's Crown boss.,not_spam
ok,not_spam
Is this quest bugged for anyone else?,not_spam
[GM] Notice: We are conducting an audit. Please confirm your details: http://freeitems.online/claim,spam
gild meeting tonight at 8 PM.,not_spam
Claim your free copy of StormBringers here: http://freeitems.online/claim,spam
Your account has been temporarily suspended. Appeal here: http://freegold.ru/claim,spam
WTS Rare Mount for 100g.,not_spam
Reset your password here now: http://loot-claim.biz/claim,spam
WTB xXShadowXx PM offers.,not_spam
Verify to claim your reward: http://account-verify.net/claim,spam
...,not_spam
lag,not_spam
Best hack tool for unlimited items! Download now: http://discord-giveaway.com/claim,spam
Auction house prices are crazy today.,not_spam
Click here to get a rare mount instantly: http://account-verify.net/claim,spam
"Good game, team!",not_spam
Free gold for everyone! Click here to claim: http://freeitems.online/claim,spam
How do I get to EclipseOnline? :),not_spam
Anyone queueing for arenas?,not_spam
Auction house prices are crazy today.,not_spam
Security alert! Unauthorized login attempt. Change password at: http://win-cash.io/claim,spam
My friend made this awesome guide! It's at http://claim-reward.net/claim,spam
Security alert! Unauthorized login attempt. Change password at: http://secure-verify.org/claim,spam
"Just finished the main story, wow!",not_spam
Get free HeroesFall with this program: http://freeitems.online/claim,spam
Verify to claim your reward: http://gamekeys.xyz/claim,spam
Click here to get a rare mount instantly: http://loot-claim.biz/claim,spam
Free gold for everyone! Click here to claim: gamekeys.xyz,spam
[GM] Notice: We are conducting an audit. Please confirm your details: http://freegold.ru/claim,spam
Report RealmQuest for griefing.,not_spam
Reset your password here now: http://secure-verify.org/claim,spam
GM_Alert: You have violated terms of service. Follow instructions at: freeitems.online,spam
Claim your free copy of RealmQuest here: http://account-verify.net/claim,spam
Verify to claim your reward: http://gamekeys.xyz/claim,spam
Legendary item giveaway! Only 100 left! Visit: http://discord-giveaway.com/claim,spam
Is anyone else having trouble with the game? This site helped me: http://freegold.ru/claim,spam
